trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
458,False,"{'a': 0.15, 'e': 0.009019067455491433}",20,7,21.627269745975884,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.15, 'e': 0.008928876780936519}",20,9,19.082413048629782,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.15, 'e': 0.008839588013127155}",35,26,16.09706451256791,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.15, 'e': 0.008751192132995883}",20,0,25.067612100678733,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
462,False,"{'a': 0.15, 'e': 0.008663680211665924}",30,12,31.08172154449801,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.15, 'e': 0.008577043409549266}",20,0,27.9314590290765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
464,False,"{'a': 0.15, 'e': 0.008491272975453773}",25,15,17.479056485378152,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.15, 'e': 0.008406360245699235}",20,0,28.90339220027877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.15, 'e': 0.008322296643242242}",25,17,12.05972450069054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.15, 'e': 0.00823907367680982}",20,15,8.362238336009948,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.15, 'e': 0.008156682940041722}",25,13,24.352201252595638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.15, 'e': 0.008075116110641304}",30,21,16.80212559637136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.15, 'e': 0.00799436494953489}",25,19,14.841276250998657,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.15, 'e': 0.007914421300039541}",25,16,16.697096278005457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.15, 'e': 0.007835277087039147}",30,18,25.091875420427584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
